galaxy_id,gama_name,n_spec,n_gama_spec,specid,survey,ra,dec,z,nq,prob,fluxscale,logmstar,logmstar_corr,dellogmstar,logmoverl_i,dellogmoverl_i,absmag_r,delabsmag_r,absmag_r_stars,survey_class,galmag_z,galre_z,galindex_z,galellip_z,galpa_z,galmagerr_z,galreerr_z,galindexerr_z,galelliperr_z,galpaerr_z,galra_z,galdec_z,galmu0_z,galmue_z,galmueavg_z,galr90_z,galchi2full_z,galndof_z,galchi2_z,cataid_2a,galmag_r,galre_r,galindex_r,galellip_r,galpa_r,galmagerr_r,galreerr_r,galindexerr_r,galelliperr_r,galpaerr_r,galra_r,galdec_r,galmu0_r,galmue_r,galmueavg_r,galr90_r,galchi2full_r,galndof_r,galchi2_r,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,sfr_0_1gyr_best_fit,sfr_0_1gyr_percentile16,sfr_0_1gyr_percentile50,sfr_0_1gyr_percentile84,metalicity_z_zo_percentile2_5,metalicity_z_zo_percentile16,metalicity_z_zo_percentile50,metalicity_z_zo_percentile84,agem_percentile16,agem_percentile50,agem_percentile84,sfr19_percentile16,sfr19_percentile50,sfr19_percentile84
545684,GAMAJ144238.78-005558.0,1,0,346854989638952960,SDSS,220.66162,-0.93279,0.21709999442100525,5,0.0,1.2196451425552368,11.336246490478516,11.422479980950321,0.0984269231557846,1.9689785242080688,0.1032828614115715,-23.015281677246094,0.015169286169111729,-23.40047836303711,6,16.48859977722168,3.2112114429473877,5.758500099182129,0.36309999227523804,-17.968299865722656,0.009600000455975533,0.07091879844665527,0.10180000215768814,0.004900000058114529,0.499099999666214,220.66166,-0.9327999949455261,9.968100547790527,22.112533569335938,20.527572631835938,25.44649887084961,11902.0888671875,11736,1.0141520500183105,545684,17.22909927368164,4.165869235992432,6.42549991607666,0.382999986410141,-19.85569953918457,0.025299999862909317,0.2400120049715042,0.24230000376701355,0.008899999782443047,0.8586999773979187,220.66162,-0.9327999949455261,9.849281311035156,23.44188117980957,21.798789978027344,37.253326416015625,9859.8623046875,10724,0.9194201827049255,254499995648.0,11.319999694824219,11.380000114440918,11.420000076293945,0.35510000586509705,-1.0579999685287476,-0.5130000114440918,-0.39800000190734863,0.6349999904632568,0.8149999976158142,0.875,1.0549999475479126,9.802000045776367,9.876999855041504,9.95199966430664,-12.020000457763672,-11.84000015258789,-11.4399995803833
549094,GAMAJ084111.81-002815.7,1,1,G09_Y1_BS2_187,GAMA,130.29921,-0.47105,0.2150000035762787,4,1.0,1.1033834218978882,11.331029891967773,11.373756346455949,0.08011499047279358,2.062633991241455,0.08369474858045578,-22.741613388061523,0.011949990876019001,-23.19033432006836,6,16.74020004272461,2.125021457672119,3.3306000232696533,0.12229999899864197,-48.50400161743164,0.006899999920278788,0.029120100662112236,0.048500001430511475,0.006599999964237213,1.8788000345230103,130.29919,-0.4710499942302704,14.654394149780273,21.52818489074707,20.230831146240234,10.096475601196289,11256.5615234375,10067,1.1181639432907104,549094,17.660400390625,2.1309878826141357,3.095400094985962,0.12129999697208405,-41.9552001953125,0.014800000004470348,0.05722320079803467,0.09480000287294388,0.012799999676644802,3.6152000427246094,130.29921,-0.4710499942302704,16.054357528686523,22.417692184448242,21.158355712890625,9.553802490234375,9885.7607421875,10143,0.974638819694519,228499996672.0,11.1899995803833,11.300000190734863,11.369999885559082,0.14159999787807465,-1.062999963760376,-0.9629999995231628,-0.703000009059906,0.875,0.9850000143051147,1.225000023841858,1.4149999618530273,9.711999893188477,9.857000350952148,9.946999549865723,-12.289999961853027,-11.850000381469727,-11.720000267028809
549134,GAMAJ084151.36-003404.8,1,1,G09_Y1_BS2_167,GAMA,130.464,-0.56801,0.24564999341964722,4,1.0,1.1177798509597778,11.692824363708496,11.741180640489677,0.08143176883459091,2.024160623550415,0.08636827021837234,-23.76045036315918,0.009390595369040966,-24.095788955688477,6,16.032699584960938,3.167954921722412,3.255199909210205,0.12630000710487366,54.589599609375,0.004999999888241291,0.030747300013899803,0.02669999934732914,0.004000000189989805,1.1079000234603882,130.46405,-0.5680000185966492,14.960758209228516,21.6709041595459,20.38545036315918,14.777422904968262,13647.6533203125,13041,1.0465190410614014,549134,16.983999252319336,3.069577217102051,3.08270001411438,0.1274999976158142,51.1598014831543,0.011699999682605267,0.06291840225458145,0.05460000038146973,0.007799999788403511,2.2014999389648438,130.46404,-0.5680199861526489,16.188188552856445,22.523962020874023,21.266756057739258,13.717877388000488,12234.376953125,12660,0.9663804769515991,595999981568.0,11.569999694824219,11.729999542236328,11.770000457763672,0.8317999839782715,-0.16300000250339508,-0.08299999684095383,0.1120000034570694,0.6349999904632568,0.8349999785423279,0.9350000023841858,1.0950000286102295,9.682000160217285,9.842000007629395,9.927000045776367,-11.680000305175781,-11.510000228881836,-11.180000305175781
549181,GAMAJ084241.48-003412.2,1,1,G09_Y1_BS1_144,GAMA,130.67283,-0.57006,0.24595999717712402,4,1.0,0.9641546607017517,11.398414611816406,11.38256131677919,0.09777335822582245,1.9625022411346436,0.10450269281864166,-23.184316635131836,0.017650192603468895,-23.597518920898438,6,16.82670021057129,2.2753002643585205,3.230799913406372,0.17759999632835388,-39.072601318359375,0.007499999832361937,0.03328980132937431,0.049800001084804535,0.006500000134110451,1.2889000177383423,130.67286,-0.5700399875640869,15.019407272338867,21.67659568786621,20.395050048828125,10.550060272216797,11294.03515625,9702,1.164093017578125,549181,17.702499389648438,2.3255739212036133,3.198199987411499,0.1551000028848648,-40.54560089111328,0.016200000420212746,0.06888479739427567,0.09989999979734421,0.012900000438094139,2.8612000942230225,130.67287,-0.5700700283050537,16.037456512451172,22.62389373779297,21.347614288330078,10.696784973144531,10014.5908203125,10088,0.9927232265472412,201300000768.0,11.260000228881836,11.380000114440918,11.4399995803833,0.11490000039339066,-0.9580000042915344,-0.6380000114440918,-0.2680000066757202,0.5950000286102295,0.7749999761581421,0.9150000214576721,1.1349999904632568,9.63700008392334,9.802000045776367,9.871999740600586,-11.979999542236328,-11.520000457763672,-11.149999618530273
549749,GAMAJ085112.81-002833.5,1,0,526992106980403200,SDSS,132.80341,-0.47598,0.20027999579906464,5,0.0,1.3685442209243774,11.404361724853516,11.540620559915816,0.09389624744653702,2.0197274684906006,0.09793437272310257,-23.03443717956543,0.019453197717666626,-23.584575653076172,6,-9999.0,-3389.660888671875,-9999.0,-9999.0,-9999.0,-9999.0,-3389.660888671875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,549749,16.814899444580078,7.067471981048584,8.12399959564209,0.4140999913215637,-15.330699920654297,0.0,0.00013559999933931977,9.999999747378752e-05,0.0,0.00019999999494757503,132.80343,-0.4760099947452545,6.96370267868042,24.244182586669922,22.476228713989258,83.84381103515625,11654.4736328125,12391,0.9405596256256104,202000007168.0,11.260000228881836,11.359999656677246,11.430000305175781,0.310699999332428,-0.9330000281333923,-0.49300000071525574,-0.21299999952316284,0.675000011920929,0.8349999785423279,1.1150000095367432,1.3550000190734863,9.63700008392334,9.802000045776367,9.866999626159668,-11.880000114440918,-11.510000228881836,-11.119999885559082
550776,GAMAJ090926.48-003203.9,2,0,531504778300123136,SDSS,137.36037,-0.53443,0.21953000128269196,5,0.0,1.1173758506774902,11.447736740112305,11.495936021034032,0.08338514715433121,2.0178399085998535,0.08688729256391525,-23.166549682617188,0.009612314403057098,-23.51154899597168,6,16.047100067138672,6.568972587585449,7.916900157928467,0.25920000672340393,88.51180267333984,0.019300000742077827,0.29998108744621277,0.1712000072002411,0.005799999926239252,0.8023999929428101,137.36038,-0.5343899726867676,6.727664470672607,23.558467864990234,21.804288864135742,75.41529846191406,13740.39453125,11403,1.2049809694290161,550776,17.1466007232666,4.56636381149292,8.412199974060059,0.20489999651908875,87.85040283203125,0.08420000225305557,0.7914971709251404,0.5282999873161316,0.013500000350177288,1.7314000129699707,137.36036,-0.5344300270080566,6.071264266967773,23.977514266967773,22.190956115722656,56.66402816772461,11736.2255859375,11801,0.9945111274719238,260699996160.0,11.279999732971191,11.350000381469727,11.399999618530273,0.018479999154806137,-1.1180000305175781,-0.6480000019073486,-0.257999986410141,1.3949999809265137,1.6649999618530273,1.8650000095367432,1.975000023841858,9.812000274658203,9.88700008392334,9.946999549865723,-12.170000076293945,-11.850000381469727,-11.369999885559082
559731,GAMAJ115220.18-003028.7,2,0,319808932455409664,SDSS,178.08407,-0.508,0.24427999556064606,5,0.0,1.2069673538208008,11.329174995422363,11.410870518836013,0.08927087485790253,1.9784373044967651,0.09487060457468033,-22.979793548583984,0.011243162676692009,-23.29091453552246,6,16.62649917602539,3.7906301021575928,6.580699920654297,0.16779999434947968,61.214900970458984,0.01679999940097332,0.14675310254096985,0.1679999977350235,0.00800000037997961,1.4293999671936035,178.08418,-0.5079399943351746,9.04227352142334,22.971845626831055,21.316076278686523,34.833702087402344,9711.0791015625,10063,0.9650282263755798,559731,17.542200088500977,3.118122100830078,5.857399940490723,0.18549999594688416,62.42599868774414,0.035599999129772186,0.23957130312919617,0.2904999852180481,0.01640000008046627,2.956899881362915,178.0841,-0.5079900026321411,11.01916790008545,23.378326416015625,21.784343719482422,25.16617774963379,10432.2412109375,10044,1.0386539697647095,177899995136.0,11.199999809265137,11.3100004196167,11.380000114440918,0.273499995470047,-0.9480000138282776,-0.5180000066757202,-0.2680000066757202,0.6650000214576721,0.8149999976158142,1.0149999856948853,1.3049999475479126,9.63700008392334,9.802000045776367,9.866999626159668,-11.84000015258789,-11.489999771118164,-11.119999885559082
559735,GAMAJ115227.75-003136.3,2,0,319806183676340224,SDSS,178.11564,-0.52678,0.24296000599861145,5,0.0,1.2238458395004272,11.345382690429688,11.43310940622058,0.08358070254325867,2.009974479675293,0.09051387012004852,-22.93644905090332,0.010348391719162464,-23.182071685791016,6,16.77440071105957,2.9940481185913086,5.741199970245361,0.2648000121116638,-86.56199645996094,0.012299999594688416,0.08122439682483673,0.12229999899864197,0.00860000029206276,1.152500033378601,178.11572,-0.5267599821090698,10.293652534484863,22.40052604675293,20.817157745361328,23.649272918701172,12494.314453125,9722,1.2851589918136597,559735,17.552900314331055,3.2742652893066406,6.424099922180176,0.18719999492168427,-88.85780334472656,0.04129999876022339,0.300625205039978,0.35850000381469727,0.01759999990463257,3.1364998817443848,178.11567,-0.5267699956893921,9.952292442321777,23.541852951049805,21.89887809753418,29.27291488647461,10362.447265625,9983,1.0380090475082397,253499998208.0,11.229999542236328,11.350000381469727,11.40999984741211,0.10939999669790268,-1.003000020980835,-0.8230000138282776,-0.6430000066757202,0.9350000023841858,1.0549999475479126,1.2350000143051147,1.4149999618530273,9.666999816894531,9.831999778747559,9.906999588012695,-12.050000190734863,-11.789999961853027,-11.539999961853027
560639,GAMAJ120405.68-002953.5,2,1,4328037396500709376,SDSS,181.02367,-0.49821,0.24887999892234802,5,0.0,1.1315488815307617,11.31447982788086,11.368153147568458,0.0918324887752533,1.9577687978744507,0.09859734773635864,-23.002647399902344,0.010754402726888657,-23.24249267578125,6,16.903200149536133,3.002082347869873,3.869999885559082,0.25110000371932983,-21.255399703979492,0.00800000037997961,0.04962959885597229,0.06449999660253525,0.006200000178068876,0.878000020980835,181.02367,-0.4981899857521057,14.302886962890625,22.347475051879883,20.97182273864746,16.181148529052734,14228.96875,11190,1.2715790271759033,560639,17.669700622558594,3.305283784866333,3.8965001106262207,0.2736999988555908,-21.485000610351562,0.029400000348687172,0.18167009949684143,0.16599999368190765,0.014499999582767487,1.9464000463485718,181.02368,-0.498199999332428,15.191095352172852,23.2932071685791,21.913984298706055,17.922107696533203,10612.8095703125,10175,1.0430279970169067,230799998976.0,11.270000457763672,11.369999885559082,11.430000305175781,0.05959999933838844,-1.2230000495910645,-0.6430000066757202,-0.24799999594688416,0.36500000953674316,0.4650000035762787,0.6050000190734863,0.925000011920929,9.607000350952148,9.756999969482422,9.836999893188477,-12.050000190734863,-11.729999542236328,-11.239999771118164
561459,GAMAJ121424.03-003206.3,1,0,324341944975124480,SDSS,183.60016,-0.53509,0.24790999293327332,4,0.0,1.0220080614089966,11.352825164794922,11.36227948624101,0.10078399628400803,1.9276927709579468,0.106999970972538,-23.169626235961914,0.021367637440562248,-23.643156051635742,6,16.816699981689453,3.082662582397461,2.490299940109253,0.20430000126361847,-45.88159942626953,0.005200000014156103,0.030306600034236908,0.027400000020861626,0.005100000184029341,0.921500027179718,183.60025,-0.535040020942688,17.105566024780273,22.15589714050293,21.00865364074707,11.77890682220459,13989.9482421875,13365,1.0467599630355835,561459,17.66230010986328,2.9905900955200195,2.3717000484466553,0.3037000000476837,-33.27830123901367,0.017999999225139618,0.08830949664115906,0.06989999860525131,0.010999999940395355,1.4422999620437622,183.60021,-0.5350900292396545,17.97277069091797,22.76581382751465,21.643526077270508,11.051630973815918,11052.1318359375,10106,1.093621015548706,226399993856.0,11.15999984741211,11.319999694824219,11.34000015258789,1.184000015258789,-0.3230000138282776,-0.05299999937415123,0.1770000010728836,0.7749999761581421,1.024999976158142,1.0449999570846558,1.475000023841858,9.496999740600586,9.76200008392334,9.781999588012695,-10.760000228881836,-10.4399995803833,-10.050000190734863
561535,GAMAJ121547.65-003105.6,3,0,323163818651838464,SDSS,183.94858,-0.5182,0.2047799974679947,5,0.0,1.36808180809021,11.523290634155273,11.659402702109446,0.08154353499412537,2.0283892154693604,0.0865517407655716,-23.329471588134766,0.010877374559640884,-23.624263763427734,6,15.872099876403809,6.519173622131348,4.734499931335449,0.2840999960899353,-5.68179988861084,0.0071000000461936,0.09427589923143387,0.04859999939799309,0.003599999938160181,0.4625999927520752,183.94863,-0.5182099938392639,13.135886192321777,23.05716323852539,21.57564353942871,42.306331634521484,29284.77734375,26990,1.085023045539856,561535,16.61520004272461,7.616279125213623,5.683599948883057,0.25279998779296875,-14.520899772644043,0.0005000000237487257,0.014780400320887566,0.006500000134110451,0.000699999975040555,0.005499999970197678,183.94859,-0.5182300209999084,12.29916763305664,24.28098487854004,22.70295524597168,59.514862060546875,16037.802734375,15964,1.0046230554580688,290899984384.0,11.369999885559082,11.460000038146973,11.520000457763672,0.21699999272823334,-0.9380000233650208,-0.7480000257492065,-0.4729999899864197,0.675000011920929,0.824999988079071,1.0549999475479126,1.284999966621399,9.63700008392334,9.791999816894531,9.871999740600586,-12.180000305175781,-11.710000038146973,-11.380000114440918
